night,target,session,file,mjd_obs,x,y,snr,detected
2026-08-18,Qatar-1,session_01,Qatar-1260818082449.fits,61270.351,322.8,159.37,55.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818082715.fits,61270.352,332.89,149.1,4.3,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818083016.fits,61270.354,334.42,152.85,4.0,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818083316.fits,61270.356,336.02,155.81,4.3,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818083615.fits,61270.359,339.14,154.64,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818083916.fits,61270.361,340.27,154.19,4.3,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818084215.fits,61270.363,341.58,153.3,3.6,no
2026-08-18,Qatar-1,session_01,Qatar-1260818084515.fits,61270.365,344.3,151.57,5.6,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818084815.fits,61270.367,345.01,148.64,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818085115.fits,61270.369,345.59,153.88,6.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818085415.fits,61270.371,348.07,153.22,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818085716.fits,61270.373,348.49,151.53,3.7,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090016.fits,61270.375,350.92,152.82,3.0,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090316.fits,61270.377,351.27,151.7,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818090615.fits,61270.379,352.61,148.91,3.4,no
2026-08-18,Qatar-1,session_01,Qatar-1260818090915.fits,61270.381,342.69,154.5,73.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818091215.fits,61270.384,355.28,153.94,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818091515.fits,61270.386,355.77,152.48,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818091816.fits,61270.388,358.11,150.31,5.4,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818092117.fits,61270.39,358.17,148.66,4.5,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818092415.fits,61270.392,358.74,153.42,5.4,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818092715.fits,61270.394,363.57,152.2,3.2,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093015.fits,61270.396,362.49,150.86,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818093316.fits,61270.398,361.3,149.67,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818093615.fits,61270.4,364.47,149.41,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818093916.fits,61270.402,367.07,153.01,4.0,no
2026-08-18,Qatar-1,session_01,Qatar-1260818094216.fits,61270.404,366.71,151.46,5.8,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818094516.fits,61270.406,365.88,154.31,4.9,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818094815.fits,61270.409,368.12,150.93,3.8,no
2026-08-18,Qatar-1,session_01,Qatar-1260818095116.fits,61270.411,371.3,154.54,4.7,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818095416.fits,61270.413,371.69,158.05,5.2,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818095715.fits,61270.415,372.36,157.24,4.9,yes
2026-08-18,Qatar-1,session_01,Qatar-1260818100015.fits,61270.417,375.2,158.14,5.2,yes
