target,night,file,mjd_obs,ut_time,rel_flux_global,noisy_night
TRES-5,2026-08-17,TRES-5260817094938.fits,61269.409,09:48:57,1.0617,no
TRES-5,2026-08-17,TRES-5260817095122.fits,61269.411,09:51:50,1.1085,no
TRES-5,2026-08-17,TRES-5260817100015.fits,61269.417,10:00:28,0.9686,no
TRES-5,2026-08-17,TRES-5260817100315.fits,61269.419,10:03:21,1.0303,no
TRES-5,2026-08-17,TRES-5260817100915.fits,61269.423,10:09:07,1.0193,no
TRES-5,2026-08-17,TRES-5260817101216.fits,61269.425,10:12:00,0.9942,no
TRES-5,2026-08-17,TRES-5260817101815.fits,61269.429,10:17:45,1.0577,no
TRES-5,2026-08-17,TRES-5260817102715.fits,61269.436,10:27:50,1.052,no
TRES-5,2026-08-17,TRES-5260817103015.fits,61269.438,10:30:43,1.0555,no
TRES-5,2026-08-17,TRES-5260817103616.fits,61269.442,10:36:28,1.0256,no
TRES-5,2026-08-17,TRES-5260817105115.fits,61269.452,10:50:52,1.0448,no
TRES-5,2026-08-17,TRES-5260817105715.fits,61269.456,10:56:38,1.0212,no
TRES-5,2026-08-17,TRES-5260817110015.fits,61269.459,11:00:57,0.9982,no
TRES-5,2026-08-17,TRES-5260817110915.fits,61269.465,11:09:36,0.9826,no
TRES-5,2026-08-17,TRES-5260817111215.fits,61269.467,11:12:28,1.0415,no
TRES-5,2026-08-17,TRES-5260817111515.fits,61269.469,11:15:21,0.8933,no
TRES-5,2026-08-17,TRES-5260817111815.fits,61269.471,11:18:14,0.9083,no
TRES-5,2026-08-17,TRES-5260817112115.fits,61269.473,11:21:07,0.7861,no
TRES-5,2026-08-17,TRES-5260817112416.fits,61269.475,11:24:00,0.9668,no
TRES-5,2026-08-17,TRES-5260817112715.fits,61269.477,11:26:52,0.9724,no
TRES-5,2026-08-17,TRES-5260817113315.fits,61269.481,11:32:38,1.041,no
TRES-5,2026-08-17,TRES-5260817113615.fits,61269.484,11:36:57,1.0478,no
